SPEED,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Gravity,0.511718988418579,0,0,0,0,0,0.554687976837158,-0.46875,0,0,0,0,0,0,0,0,0,0
Prey,0.511718988418579,0,0,0,0,0,0.554687976837158,-0.46875,0,0,0,0,0,0,2,0,0,0
