BOUNCE,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Rattle & Scrape,0.48978465795517,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Refrain,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizome,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock Pop,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Rolling,0.500472128391266,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Rose,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Rupture,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
SLOO,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Saffron,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapphire,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Shmoop,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Siif,0,0,-0.351968735456467,0,-0.419031262397766,0,-0.003031250089407,0,0,0,0,0,0,-1,0,0,0,0
Silly,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Skinned,0.497315913438797,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Skins,0.48978465795517,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Smack,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Socius,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Stark,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Sticks,0.48978465795517,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunrise,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunset,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Swoosh,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Synthwave,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Taam,0,0,-0.002249999903142,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0
Tam Bma Ts,0.48978465795517,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Tangerine,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Toughened,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Trap,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Uuuu,0,0,-0.000531250028871,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0
VMOD,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Verdigris,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermilion,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Violet,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Waves,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Woop,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldroom,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Yap,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoom,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0
flicker,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
harsh,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
minimal,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
