Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Barred,0.4305781126022339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Deepcarve,0.4305781126022339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dogshort,0.4305781126022339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Finalised,0.4305781126022339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Giraffe,0.4305781126022339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gritter,0.4305781126022339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Me Three,0.4305781126022339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Shrift,0.4305781126022339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Snatcher,0.4305781126022339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
